geometry,category
POINT (100.23333 26.86667),Cultural
POINT (112.15444 37.20139),Cultural
POINT (120.45 31.31666667),Cultural
POINT (116.1411111 39.91055556),Cultural
POINT (116.4447222 39.84555556),Cultural
POINT (117.68333 27.71667),Mixed
POINT (102.977222222 24.6688888889),Natural
POINT (105.705 29.70111),Cultural
POINT (103.60528 31.00167),Cultural
POINT (117.9875 29.90444444),Cultural
POINT (112.4666667 34.46666667),Cultural
POINT (124.7938889 41.70722222),Cultural
POINT (116.185127778 42.358),Cultural
POINT (113.12222 40.10972),Cultural
POINT (98.40638889 27.895),Natural
POINT (113.536461111 22.1912919444),Cultural
POINT (102.779980556 23.0932777778),Cultural
POINT (112.565861111 22.2855194444),Cultural
POINT (117.685833333 25.0230555556),Cultural
POINT (114.313888889 36.1266666666),Cultural
POINT (126.1872222 41.15694444),Cultural
POINT (103 30.8333333333),Natural
POINT (110.354444444 24.9233333333),Natural
POINT (113.563333333 39.0305555556),Cultural
POINT (118.064444444 28.9158333333),Natural
POINT (113.067719444 34.4587472222),Cultural
POINT (120.140833333 30.2375),Cultural
POINT (106.0425 28.4219444444),Natural
POINT (80.3541666667 41.9683333333),Natural
POINT (112.468333333 34.6938888889),Cultural
POINT (109.966944444 28.9986111111),Cultural
POINT (107.023055556 22.2555555556),Cultural
POINT (110.243888889 31.4697222222),Natural
POINT (92.4391666667 35.3802777778),Natural
POINT (118.061944444 24.4475),Cultural
POINT (-75.53333333 10.41666667),Cultural
POINT (-77 7.666666667),Natural
POINT (-74.43333333 9.233333332999999),Cultural
POINT (-76.03333333 2.583333333),Cultural
POINT (-76.23333332999999 1.916666667),Cultural
POINT (-75.6816666667 5.4716666667),Cultural
POINT (-81.6166666666 3.9666666667),Natural
POINT (-87.06666667 5.533333333),Natural
POINT (-85.61666667 10.85),Natural
POINT (-83.47750000000001 8.911388888899999),Cultural
POINT (-7.66667 5.75),Natural
POINT (-4 9),Natural
POINT (3.7363888889 5.1958333333),Cultural
POINT (18.09139 42.65056),Cultural
POINT (16.44333 43.50944),Cultural
POINT (15.61444 44.87778),Natural
POINT (13.59444 45.22917),Cultural
POINT (32.40556 34.75833),Cultural
POINT (16.25167 43.5125),Cultural
POINT (15.89038 43.73629),Cultural
POINT (16.6386111111 43.1816666667),Cultural
POINT (-82.34999999999999 23.13333333),Cultural
POINT (-79.98444444 21.80305556),Cultural
POINT (-75 20.45),Natural
POINT (33.09583333 34.92027778),Cultural
POINT (-83.71666999999999 22.61667),Cultural
POINT (-75.87083333 19.96666667),Cultural
POINT (-77.63333 19.88333),Natural
POINT (-75.39138889 20.03),Cultural
POINT (-80.45278 22.14722),Cultural
POINT (-77.91861111110001 21.3786111111),Cultural
POINT (33.34333 34.79833),Cultural
POINT (14.41944 50.08972),Cultural
POINT (14.31666667 48.81666667),Cultural
POINT (15.45 49.18333),Cultural
POINT (15.9420583333 49.5802),Cultural
POINT (15.2666666667 49.95),Cultural
POINT (16.775 48.77583),Cultural
POINT (17.2504583333 49.5939361111),Cultural
POINT (17.37722222 49.3),Cultural
POINT (14.25277778 48.95972222),Cultural
POINT (16.31444 49.87361),Cultural
POINT (16.6160555556 49.2071833333),Cultural
POINT (12.3577777778 55.9136111111),Cultural
POINT (15.87888889 49.21722222),Cultural
POINT (125.415 38.86305556),Cultural
POINT (126.508055556 37.9816666667),Cultural
POINT (29.16666667 0.916666667),Natural
POINT (29.25 4),Natural
POINT (28.75 -2.5),Natural
POINT (21 -2),Natural
POINT (28.5 2),Natural
POINT (12.07972222 55.64222222),Cultural
POINT (12.62083333 56.03889),Cultural
POINT (9.42 55.75638889),Cultural
POINT (-49.5 69.13333333),Natural
POINT (12.4233333333 55.2672222222),Natural
POINT (9.4813888889 55.3555555556),Cultural
POINT (-45.5980555556 61.1644444444),Cultural
POINT (-61.28333333 15.26666667),Natural
POINT (-69.91666667 18.48333333),Cultural
POINT (-91 -0.81667),Natural
POINT (-78.5 -0.003888889),Cultural
POINT (-78.33333 -1.83333),Natural
POINT (-78.98333332999999 -2.883333333),Cultural
POINT (31.13041 29.97604),Cultural
POINT (32.6 25.73333),Cultural
POINT (31.62611 22.33639),Cultural
POINT (31.26111 30.05),Cultural
POINT (29.66666667 30.8358333333),Cultural
POINT (33.97543 28.55623),Cultural
POINT (30.18333 29.33333),Natural
POINT (-89.36916667 13.8275),Cultural
POINT (38.9358333333 15.3352777778),Cultural
POINT (24.73333333 59.43333),Cultural
POINT (38.0666666667 13.1833333333),Natural
POINT (40.57939 11.10006),Cultural
POINT (38.6121 8.43491),Cultural
POINT (38.71861 14.13019),Cultural
POINT (35.96666667 4.8),Cultural
POINT (39.04042 12.02935),Cultural
POINT (37.46617 12.60692),Cultural
